Rule ID,RTL Name,RTL Hierarchy,Message Body,File Name
ASSIGN,,,,
ASSIGN-1,,,,
ASSIGN-1# 1,-,axis_matmux_axi,"Arithmetic result not used with full precision, used bits: '4'",axis_matmux_axi.sv : 157
ASSIGN-5,,,,
ASSIGN-5# 1,gen_outputs[0].stage_data[1][2],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_data[1][2]', first unassigned bit '0'",axis_matmux_core.sv : 36
ASSIGN-5# 2,gen_outputs[0].stage_data[1][3],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_data[1][3]', first unassigned bit '0'",axis_matmux_core.sv : 36
ASSIGN-5# 3,gen_outputs[0].stage_data[2][1],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_data[2][1]', first unassigned bit '0'",axis_matmux_core.sv : 36
ASSIGN-5# 4,gen_outputs[0].stage_data[2][2],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_data[2][2]', first unassigned bit '0'",axis_matmux_core.sv : 36
ASSIGN-5# 5,gen_outputs[0].stage_data[2][3],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_data[2][3]', first unassigned bit '0'",axis_matmux_core.sv : 36
ASSIGN-5# 6,gen_outputs[0].stage_valid[1],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_valid[1]', first unassigned bit '2'",axis_matmux_core.sv : 37
ASSIGN-5# 7,gen_outputs[0].stage_valid[2],axis_matmux_core,"Found bit(s) not assigned for signal 'gen_outputs[0].stage_valid[2]', first unassigned bit '1'",axis_matmux_core.sv : 37
ASSIGN-10,,,,
ASSIGN-10# 1,s_axi_araddr,axis_matmux_axi,"Found bit(s) not read for IO port 's_axi_araddr', first unread bit '0'",axis_matmux_axi.sv : 23
ASSIGN-10# 2,s_axi_arprot,axis_matmux_axi,"Found bit(s) not read for IO port 's_axi_arprot', first unread bit '0'",axis_matmux_axi.sv : 24
ASSIGN-10# 3,s_axi_awaddr,axis_matmux_axi,"Found bit(s) not read for IO port 's_axi_awaddr', first unread bit '0'",axis_matmux_axi.sv : 12
ASSIGN-10# 4,s_axi_awprot,axis_matmux_axi,"Found bit(s) not read for IO port 's_axi_awprot', first unread bit '0'",axis_matmux_axi.sv : 13
ASSIGN-10# 5,s_axi_wdata,axis_matmux_axi,"Found bit(s) not read for IO port 's_axi_wdata', first unread bit '5'",axis_matmux_axi.sv : 16
ASSIGN-10# 6,output_enables,axis_matmux_core,"Found bit(s) not read for IO port 'output_enables', first unread bit '1'",axis_matmux_core.sv : 25
ASSIGN-10# 7,shift_matrix[0][10],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][10]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 8,shift_matrix[0][11],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][11]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 9,shift_matrix[0][12],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][12]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 10,shift_matrix[0][13],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][13]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 11,shift_matrix[0][14],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][14]', first unread bit '0'",axis_matmux_core.sv : 24
ASSIGN-10# 12,shift_matrix[0][15],axis_matmux_core,"Found bit(s) not read for IO port 'shift_matrix[0][15]', first unread bit '0'",axis_matmux_core.sv : 24
